short_desc,severity
remove atom based opendocument,normal
wrong repository path,normal
cleanup verifyevent constructor,trivial
npe quickassistlightbulbupdaterhasquickfixlightbulbquickassistlightbulbupdater,major
preferences check overriding implementing methods ambiguous javadoc,minor
code completion work correctly,normal
addon update check take account compatibility preferences,major
password pop prompted gmail,major
session restore corrupts non ascii quick filter data,critical
swtgraphicsscale broken used printer eclipse gtk,major
console background color set console opens first time,major
gtk cleanup control widget uses unused guarded code,normal
fehler getthreadtree defined,major
faq exclude support win cdt,major
detachedviews errors detached views,major
registers view handle compound register values,normal
constructor name completion doesnt recognize inner class,normal
debug cannot suspend debug session change condition breakpoint,normal
ensure actions modifiy code use validateedit check file editable general issue,major
type hierarchy overriding method context menu source aware,minor
cvs core error dialog compare cannot close connection,minor
tvt suggestion document mininum recommended screen resolution workbench,trivial
jls enum types define enum type implicitly abstract,minor
refactoring move cu generated code honor setting import organize gdiur,major
jframe design loading,normal
quick fix add requires quick fix missing import statement,normal
tvt potential nonexternalized strings,normal
mail headers marked junk deleted opened,critical
setup null annotations plugin project work headless pdebuild,major
variablesexpressions number format settings reflected structure members variablesexpressions view,minor
keylistener doesnt understand ctrl alt statemask,critical
confirm dialog doesnt work embedded mozilla browser widget,major
improve javadoc searchpatterncreatepatternstring int int int,trivial
problems compilationparticipants get cleaned unless java errors,critical
pre inserts blank line javadoc comments every time autoformat run,minor
unified view loses folders allow reset,major
avoid dead code problem,trivial
ide ui freezing make changes feature files,major
regression x workbench window runnable context workblock,critical
error missing vm,normal
uncomment code buttonselectradio method,normal
dom incorrect bindings member interface,normal
rightdoubleclicking editor title bar zooms geqn,normal
backport separate persisted version information version labels translation xlc ui,critical
search npe fieldlocatormatchreportreference,normal
field warning markers outline view,minor
cocoa quick fixes render correctly,normal
typing blank line without whitespace causes javadoc indentation oddity,minor
debugger doesnt pop front breakpoint hit gdpd,normal
handle popup notifications actions,normal
injectionexception javalangstackoverflowerror orgeclipseeuiworkbenchrenderersswt,major
editor mgmt npe restoring workbench,critical
plugin import slim launcher failure,normal
test failures ui bug,trivial
css fix flicking styled scrollbars,normal
error message sending email smtp server,major
regressions bug slow settaskname progressbardialog linux even worse osx,major
remove ctrltabpreview binding,normal
cvs decorators working packages view,critical
help plugincustomizationini help doesnt take effect cdt,normal
implement basic herotext component,normal
word wont launch ole editor,minor
eclipse ui freeze idle eclipse background pc sleep,blocker
imap offline store getting corrupted message load interrupted,critical
workspacegetdanglingreferences returns erroneous results best case aioibe worst case,minor
preferences preference pages minimum size,normal
delivering undelivered junk mail,major
model importcontainerhaschildren return true,normal
crash nsmsglocalmailfolderrename,critical
templates template elseif take account code formatter,minor
keybindings ctrl enter behaviour maximize editor window changed,normal
view model vm cache save result canceled update,major
remote debuggin cdt cause killing inferior,major
tb doesnt show subject sender sentdate upper window,critical
undefined builder causes autobuild failures,normal
search searchenginesearchalltypenames find camelcase match,normal
archives folder sent folder unified folders view dont show messages msf file hosed x nserrorfailure nsimsgfolderserver lsearchspecjs searchspecapplysearch,major
bookmarkshtml missing bookmarkbak copied bookmarkshtml,critical
stl vector iterator indexing problems prevent contentassist,normal
polish prompted delete selected breakpoints empty group,trivial
initializing thread status gigdez,minor
scanner config use default checkbox deletes nondefault build command,normal
workbenchlauncher maintenance arrayindexoutofboundsexception ideapplicationstart launching partially branded product,major
perspectives turn redraw around perspective switches,normal
openmodes incorrect events fired openstrategy postselectionlistener,normal
line wrapping indentation policy indent column fails nested function call expressions,minor
undefined maintenance set python command,major
npe toggling show print margins c editor preferences,minor
findbugs plugin run project checks bugs files finishes error,major
generate constructors superclass constructors based deprecated super deprecated,minor
search view display project name inside single quotes,trivial
markers aiob applying quick fix,critical
viewers treeviewer empty entries refreshing,major
null cannot override method wildcard return types,normal
internalteamhook class misses noextend tag,trivial
perspective changes leak perspectives,major
initial filter text truncated filteredtree workbench started,minor
fp return warning return else,normal
use supertype possible update ui checkbox changes refactoring,minor
thunderbird freezes authentication required pops dragging message folder,critical
themes cannot customize foreground font longer presentation,major
osx swt menus completely inactive,blocker
iae exception workspaceroot breaks launch history toolbar menu,minor
todo tasks first one magically special way sort code manipulation,minor
various browserusagetelemetry tests going permafail gecko version number bumped,critical
typing add javadoc comment append javadoc,minor
iconfigurationwizardextension todo initiworkbench iproject methods javadoc,trivial
jmenubar doesnt work correctly swt composite,critical
perspectives grammar mistake message,minor
field droptargeteffect never read photon,trivial
thunderbird crashes german language pack enabled startup error copymenuitem,critical
commonnavigator resourcecontent provider grabs iproject adaptables fails provide children,major
console ioconsolepartitioner produces overlapping style ranges,minor
wrong error message switch expression preview feature,trivial
documentation isvar api available simpletype specify throws exception,normal
broken fast view bars,critical
organise imports deletes comments,major
genericeditor add toggle breakpoint actions generic editor,normal
shiftjis subject seems wrongly encoded utf,major
dbcs eclipse disappears entering dbcs characters text editor,critical
cvs virtual directories shouldnt updated,normal
browser mozilla dependencies unfrozen api,critical
table control first column indent,major
deadlock importing binaries,critical
typo itypegetsuperinterfacenames javadoc,trivial
content type cache flushed every session,major
enum formatting wrap elements selected working expected,normal
update urlbarviews selection model support selection within tip results,normal
onboarding button label wrapping,normal
jface incorrect tab order orgeclipsejfacedialogsinputdialog,trivial
intro welcome customize icon isnt appropriate metaphor,minor
astrewrite extra dimensions lost,normal
c parser convert pointer derived class base class,normal
unable find method reference enum parameter defined within class mars,blocker
orgeclipseswtwidgetscontroltodisplaypoint point doesnt work shells,normal
mitm via thunderbird autoconfig,critical
update thunderbird mails disappear visualy,critical
access rule effect,major
markers filters dialog resize,minor
presentations defaultpartpresentationchildpropertychanged causes much view pane flickering,minor
uncomment hotkey doesnt work,major
folder disappears default build,major
hard lock creating new cc project,minor
rc switch editor dialog incomplete layout management,minor
preferences label compilerpbunusedparameterwhenimplementingabstract confusing,trivial
dialogs resourceselectiondialog uses different sorting project explorer,trivial
change junk mail controls igrnored forgotten,major
javadoc javadoc reference constructor secondary type binding found search,minor
set message overrides wnpanel test messages,normal
help menu display blank window selection,major
account provisioner first search gandi hover checked fails time,major
osxmchangecolor method locks,blocker
tasks filter preference lost eclipse restart,trivial
doc presentations nitpicking orgeclipseuipresentationfactories extension point,trivial
problems problems view autoshow hide option,minor
stringindexoutofbounds text viewer hover presenter,normal
investigate problems source lookup src jar gezygv,critical
forms non ascii character comment sharedscrolledcompositejava,minor
replace withlatest head java package replaces directory subdirectories package,major
intro bidiwelcome window ltr aligned arabic platform,critical
gtk starting eclipse prints gtk warnings standard error,minor
propertiesview properties view delegate save back source part,major
clean notification sent delta tree,normal
inserting link email stopped working,major
suppresswarnings causes nls warning,trivial
upon restart eclipse main window size slightly smaller,normal
expression result types computed,major
use headless mode running unit tests,normal
indexer classcastexcpetion template instantiation,normal
swtspy code license specified,minor
environment variable access env executable hangs,critical
commonnavigator arch labelprovider treated first class extension,normal
hindent vindent clabel,normal
viewmgmt view toolbar moves top bottom view,major
checking dirty files,trivial
preview whitespace beforeafter question mark show unbound wildcard formatter,trivial
index marked consistent,minor
replace switch,minor
gtkwebkit wtfcrash,major
eclipse rc using excessive amount memory,critical
memory preference page missing mnemonic,trivial
bidi mutli page editors need mixed bidi support,major
aioob deadlockdetectorjava,minor
jdt java editor matching escaped parenthesis issue,normal
failed execute runnable javalangnosuchmethoderror orgeclipsejdtinternalcoresourcemappermapsourcelorgeclipsejdtcoreitypecv,major
actionsjavadoc wizard get rid open javadoc wizard object contribution ant files,minor
java api doc added jre library,normal
caret positioning wrong moving lines,minor
removing multiple entries detail formatter pref page causes flash,normal
extract method unnecessary code extractmethodanalyzer,trivial
memory error projectpreferences,major
unclear nls messages spelling,trivial
dohelpbutton doesnt help,minor
nls glitches save launch dialog,trivial
crash gtktooltipssettip ubuntu gutsy tribe,normal
surround trycatch submenu show least disabled entry,minor
signeture reuse scanner object,normal
eclipse save jre setting correctly,critical
fastviews orientation saved multi window mode,normal
dom javadoc bug stringliteralsetliteralvaluestring,trivial
endless dialog loop expires ssl cert encountered,critical
preference page keyword java find installed jres,trivial
autoindentation fails autoclosing labelled block,minor
cvs ui enable trace ui common errors suggestion server reported error,blocker
hovering hovers using browser widget cropped right,normal
decorators cvs label decoration,major
make mergerangelist cope overlapping scopes fix mergescoperange correctly create ranges,normal
navigation move quick view outside primary screen,minor
keyboard shortcut open type work certain file types,minor
intro welcome page right clicking rollover sticks,minor
freestanding comment ifndefpreprocessor statement appears twice comments array,normal
formatting remove workaround made fix,normal
mnemonic collision edit menu,trivial
npe java builder catchup gkeo,normal
compiler compilerbug using generics,major
drawd textflowwraptests fail switching latest build,major
nonxp look feel setting image button,normal
mail item display,critical
keybindings pressing ctrlf closes editor list,critical
port bug require rust,blocker
bookmark properties dialog needs tagging ui,normal
selection replaced last replaced string find window closed,trivial
breakpoints breakpoints skipped skip breakpoints button breakpoints view explanation,trivial
incompatible argument function vararg function,major
message viewed preview pane marked read new message arrives viewing,normal
projection deleting line folded javadoc comment deletes part,major
keybindingscommandscontexts context command undefined error using keys preference page,normal
code editor window flickering,blocker
internationalizationja categories columns localized menu properties view,minor
cant open perspective npe,critical
downloading large large number headers news nntp causes hang,critical
helpcontext generic wizard help shown instead help product wizard,normal
cannot resolve inner nester enum class,critical
ctrl toggle command line start misplaces caret makes selection,trivial
cheatsheet context help opens behind cheatsheet view,minor
coolbar jface applicationwindowcreatecoolbar tests coolbarmanager x,normal
tabformsetbackground working,normal
add packages dialog context help cannot found,trivial
markers actions available empty view select show,trivial
viewmgmt throws null pointer exception activating console view,major
fix column whitespace adjacent lists,minor
propertiesview propertysheetviewer applying editor value without active celleditor,major
new imagedevice image swtimagecopy work expected windows,critical
build set breakpoints attaching jvm,critical
iproblemstrilogy main report keeping track trilogy iproblem bug status,normal
deadlocks linux,normal
cmdsendbutton nserrornotimplemented,critical
markers problems view grouping sorted severity,blocker
swtawt menuselectionmanager problem,normal
javalangindexoutofboundsexception reconcile code complete,normal
run controlcdi interrupting windows target always work,normal
trunk account setting windows blank,major
code assist break template,minor
extssh properly handle changed host fingerprint,minor
toggle comments makefile editor,normal
performance cpu usage,major
formatter malformedtreeexception formatting invalid sequence code tags javadoc comment,normal
welcome welcome page title collapse end,trivial
formatter java code style formatter option wrap unwrapping lines,critical
select npe modulebindingunnamedmodulecanaccess,normal
problem displaying symbols cdt user faq,trivial
organize imports correct imports added code manipulation,trivial
model workbenchcontentprovider update deletecopy name,major
talkback missing mac version thunderbird release,critical
ui need able add controller logic e app,normal
content assist annotation attributes completed abstract method parameter annotations,major
infinite loop,critical
fails retrieve new messages activity slider active,critical
cce scopefindmembertype,normal
editormgmt fileeditormappingcontentprovider could replaced arraycontentprovider,normal
cheatsheet warning generated parsing command element start end tags defined,minor
setting enablement mark merged overwrite actions modelcompareeditorinput copypasted,trivial
resourceexception canceling checkout cvs project,minor
navigation mark occurrences stops working,major
implement testpluginsnotloaded also platform ui avoid activation regressions,normal
reorg move fields save source files refactoring,minor
tabs lost thunderbird doesnt shutdown properly,critical
use imagegetimagedataint zoom jface,normal
juno error occurred error reporting printing problematic frame id xb,blocker
testmodel testfindtypewithdot failed,normal
code manipulation generate ctor using fields duplicate warning consider erasure,minor
eclipse crash jvm exit code,critical
field assist work characters need altgr ctrlalt strgalt,major
block selection toggling block selection keep current line position,minor
clean generate serial version id save gives iae,minor
contributions toolbar contributions two editors displayed simultaneously,major
wrong javadoc icompilationunitreconcile,trivial
mnemonic clashes new compiler preference page build path,trivial
crash downloading email deleted server tb shows header,critical
norton antivirus file quarantine eats mail folders using mail filters,critical
cant open type orgeclipsejdtdebugtestsautomatedsuite,major
hovering hover javadoc view format code true immediately follows return,minor
fix wrapping project natures property page,trivial
wizards project location prompt new folder rename sync text field,normal
preferences edit template rename yesno buttons dialog text,minor
rcp menus created workbenchadvisors fillactionbars displayed,major
cce composite index,major
typing completion import static deletes source,major
nosuchmethoderror patternsearchjobexecute,normal
combocut place deleted text clipboard,critical
eclipse go crash,critical
next page altf console working,major
mpe multipageeditorsite may end forwarding post selection events,major
content assist bad import generated package name contains sign,minor
startup crash columnname sqlite,critical
swt jface tableviewer selection comes back,normal
messages show folders,critical
gtk programdisplay needed,trivial
preferences text editor preference page shows wrong description,trivial
npe flowcontext building,critical
module properties dialog use title style,trivial
compiler improve wording warning maskedhidden catch block,normal
package explorer hierarchical layout work empty packages,minor
missing attribute local anonymous classes,normal
browsing perspective show packages hierarchical mode,normal
modify openviewonfocus doesnt open view newtab page private windows,normal
quick search preview area small,trivial
browser external browser location doesnt handle space path correctely,major
type hierarchynavigation stackoverflow quick outline,major
gray box timed websites,normal
breadcrumb complete halfbaked javadoc,trivial
formatter commentaries running away formatting used,minor
convert various varcache prefs static prefs,normal
npe rename type tests,critical
cant debug executable built shared libraries,major
parser variant content assistant terminates eclipse visual age,major
cvs hangs replace,major
save action take ages process,critical
incorrect text new class wizard gfdctf,minor
partrenderingengines limbo sometimes visible,normal
provide since javadoc snippets,minor
confusing error trying launch plugin missing,normal
empty search folder messages matching criteria present inbox,major
presentations views overlap decreasing size window certain view layout,minor
add getprojects remoteresourcemappingcontext,normal
typing javadoc view refreshed suppressing characters javadoc comment,normal
bump version orgeclipseuiworkbench pom file,trivial
message filter work news folders toolsrun filters folder selected,major
alltestslaunch work junit,normal
console pref page punctuation capitalization,trivial
orcaeclipse focus problems switching apps,normal
platform ui tests fail running java,normal
patch singleline comments incorrectly retained macros,major
make targets persistent eclipse program invocations,major
detached windows appear e model spy,normal
generalconfigfilename value ignored prefs file longer loaded startup,major
gui blooper browse button export team set wizard clipped,trivial
infer type arguments doesnt handle remote field access,normal
workbenchparts editors visible perspective,major
override indicator blocks editor opening error occurs java compiler,major
imap message download end,major
space bar message reading scrolling broken formatted messages remote images,major
comma question mark highlighted,trivial
detachedview detached history view created blank window,normal
variables tests fail test workbench active,minor
browsing perspective types invalidly rendered,major
editor section splitted root ctabfolder use default theme ecss,normal
gcdrawimage may throw errorunsupportedformat,normal
concurrentmodificationexception ctrlleftclick constructor call java editor,normal
editor code cleanup parameters blank pages,normal
popup menu package explorer work properly,major
refactor move update affected classes one element default package,normal
team project set export wizard conflicting mnemonics,trivial
problems reported generic editors doesnt presentationreconcilier,normal
run server dialog buttons missing,trivial
package explorer plugin dependencies item build path order package explorer,minor
crash internal error jvm manager opening messages certain viewable attachments java plugin enabled,critical
compiler wrong duplicate default methods error abstractdoublespliterator,critical
syntax highlighting unclosed link tag followed space coloured,minor
two sessions open start cpu usage news reader locksup,critical
source tabs cleared project closed,minor
arrayindexoutofboundsexception running type run configuration,blocker
cannot install eclipse windows bits,blocker
compiler error sourcelookuputils,major
warnings empty block warning triggered class bodies,minor
project explorer copy action needs used twice anything,normal
rename undo rename type unicode literals garbles source,minor
aboutlogins threedots menu doesnt get dismissed open another menu click desktop,normal
testing see happens assign defect upon creation,trivial
adding helpers url converter,normal
filelink deleting filelink dropbox account delete corresponding credentials,major
wizards bad grammar error message given importing invalid zip file,trivial
pathcomputesegments expensive,major
task tags task view allow prefix task tags,trivial
content assist always displays base types,major
javalangerror unresolved compilation problem,normal
line number display problem,minor
markers infiniteloop cvs override update,blocker
navigator programmatic content provider binding failing,major
keybindings misc wrong shortcut displayed menu copy using emacs,minor
everything disappears,critical
change sets progress info italic lost clicking show change set,major
autoindentation doesnt work catch finally,minor
open definition gets confused forward class declaration,major
compiler default abstract methods tagged synthetic,normal
editors error panels invisible text linux environment,critical
java files open inspecting code instead class file,normal
underlinesquiggle text baseline,normal
preferences enter key template selection dialog dismisses dialog,minor
eclipse hangs breakpoint junit session,major
refactoring renaming class name find references inside casts,major
performance os x still degrades,critical
organize imports adds unnecessary static import creating anonymous class enclosing interface calling static method within,minor
emails cannot sent,major
preferences workbench preferences dialog cannot filter default preference page,critical
databinding reasonable validation policy defaults,normal
index updated complete folder deleted,major
clicking inbox thunderbird stalls hard disk light flashing goes minute finally messages displayed,critical
ctrlc copy work accounts n multiple account profile,major
jar exporter manifest selection dialog jar exporter sorted,trivial
junit junit library forgets javadoc setting,minor
cdt new class wizard gui follow eclipse ui guidelines,trivial
gtk incorrect sash positioning dragging,major
editormgmt associations default platform browser recognized html files,minor
eclipse cheats classpath,critical
contributed default formatter name needs externalized,trivial
alert could initialize browsers security components please check readwrite restrictios,critical
bottom slider bar showing reading javadoc,trivial
misc text manifest cleanup,trivial
run configuration dialog layout,minor
finished cc indexer job stays progress view,normal
editor minimization sometimes break,major
viewers dialog refresh encountered problem,major
content assist static members unresolved qualifying type show deprecated type,normal
returnreceiptto recognized pop mailbox,major
javaargument tab directory fields bottom,normal
allow regeneration hashcode equals,minor
orgeclipsejdtcore buildpluginspluginversion according cbi build,normal
ubuntu native crash osgtkwidgetshow creating radio menuitem ubuntumenuproxy,critical
dead code detection removing code isnt dead see bug,major
name clash erasure bugs reemerge,major
indexer doesnt notice changes referenced header workspace,normal
workbench platformuiisworkbenchrunning dependable determining context,critical
autobuild performing make clean suse,normal
ast rewrite support,normal
retain project file error occurs deleting closed project,minor
markers markersupport extension point description gives wrong declaring plugin,trivial
filter problem view doesnt seem work anymore using,major
crash shutdownhang waitforsingleobjectex waitforsingleobject prmdwaitcv prwaitcondvar prwaitcondvar mozillacondvarwait nseventqueuegetevent,critical
working sets created project set import lack icon,normal
getyear javascript function,minor
sent mail incorrectly delivered recipient previous email,critical
sashform rightbottom constraint computed correctly,trivial
vm crash treesetselection,major
settings file seems deleted eclipse ide,critical
commonnavigator icommoncontentprovider api,normal
commonnavigator rename option doesnt work closed project menu,minor
preferences type filter text match multiple words,normal
restore local history ignore readonly flag compare,major
allcomposition filters acts like composition,major
remove betajava blurbs move,trivial
commands commandlistener get fired command handler changes,normal
thunderbird hangs windows bit,critical
internal error open package view,blocker
text line highlighted remote debugging,major
crash try download information active directory ldap server,critical
markers tasks views add task popup item end ellipses,trivial
dialogs empty error message shouldnt take focus jface inputdialog,minor
xp style support button swtarrow,normal
expr remove selected expressions button enabled add new expression row selected,minor
cppvariablereadwriteflagsgetreadwriteflags returns incorrect result method call,normal
packagejavadocteststestfailtoaccessattachedjavadoc fails since,normal
unresolved types surfacing dom ast annotation default values,normal
accessibility crashes arrowing treetable account settings,critical
textgettextintint needs spec behaviour invalid range,normal
modules children expandable,normal
extract interface creates redundant modifiers,trivial
problem getting remote debugger attach jme emulator,normal
opentype wildcard always added end search,minor
eclipse crashes text typed tree control dialog linux,major
builtin cvs windows uses windows line endings diff viewer confused unix endings,normal
syntax highlighting requires static highlighted correctly moduleinfojava,minor
browsing package type views updating srcpackage selected,major
merge wizard title description,normal
flickering invoking keyboard shortcuts ambiguous commands,major
nonreproducible crash,major
console window display output lines begin characters,normal
javadoc keysequence specifies deprecation message,trivial
eclipse loses workspace layout settings time time,normal
learn links arrow panels low contrast dark themes,normal
stl testing parser fails template functions operators,normal
incorrect setter static field geufuu,major
javadoc hover handel html comments,normal
fix style range override textconsoleviewer,minor
switching folder causes thunderbird crash,critical
open view tests need degradation comment removed,minor
dbcs fail run java applicaiton dbcs class name,critical
source attachment dialog initially comes error gfgbl,critical
launch configuration dialog reinitializes tabs close,normal
installation eclipse ide cc developers installer encounters untrusted expired certificates,normal
eclipse formatter formatting single line comment incorrectly,minor
cocoa bridge support files updated latest macos supported version,normal
dnd sometimes gtk sends mouse exit native drag portability,normal
eclipse doesnt recognize inheritdoc constructor doc,normal
invalid syntax error generated compiler,minor
eclipse crashes rebuild,normal
open project ask referenced projects also opened none,normal
f backforward missaligned,minor
breakpoints enable breakpoint action incorrectly enabled watch points,minor
astrewrite dont try guess indentation level copy existing previous line,minor
tasks userbility checking task gerbd,normal
reorg deleting linked resource folder project removes link target folder rather workspace link,major
multipageeditorpartgeteditor illegal thread access,normal
error debug remote mode jee server,critical
cleanup vardefinitionsusesvisitor orgeclipsejdtinternalcorextdom,normal
detailexprstandard model details pane expression view refreshed disabling watch expression,minor
encoding encoding settings moved end operation never set copy,major
updated nightly build would display email either local mail imap account,critical
encoding incorrect help information,minor
contributions windows classic theme controlcontribution inside toolbar doesnt comes correctly,major
thunderbird start update,critical
whats new link name jdt tips tricks document wrong,trivial
finding text stopped working partial matches,major
mousemove event os x,major
quicktimeflash plugin scriptable firefox reinstallation missing xpt files,major
double tree viewer debug view,major
parseriproblem template parameter warning marker,normal
dom ast bad ast node structure source ends xml,normal
confusion printing system used,major
navigation quick type hierarchy doesnt show implementations functional interface,minor
eclipselog follow eclipse log format,normal
changed commit dialog less usable forces clicking,major
combo os x doesnt fire events selection made list,major
fontscolors confirm activity dialog use dialog font,normal
give back ability filter folder text,major
npe every time start workspace,critical
cant disable binary parser,minor
typo type resolution error,trivial
stack overflow press ctrlspace,minor
message window leaks newsgroups,major
single file synchronize offer mark merged,normal
console allow restarting process attach session,normal
eclipse workbench deadlock attaching sources,normal
ctrlaltm creates new line text editors,trivial
navigator rename file navigator causes extra copy show,minor
support multiple locales,normal
incorrect remote debugging wtk,major
add java exception breakpoint dialog displays npe twice,minor
presentations workbenchpresentationfactorycreateeditorpresentation called twice,trivial
browser javascript navigatorproductnavigatorproductsub return empty string ubuntu xulrunner,normal
address book longer working addresses search gsearchinput properties messengercontentaddressbookabcommonjs must close reinitiate thunderbird crash plstrcmp changetable rdfserviceimplunregisterresource,critical
npe plugin orgeclipsecdtui unable instantiate class orgeclipsecdtinternaluitextspellingspellingenginedispatcher,minor
workingsets window working sets menu disappears perspectives,normal
using ee jre moduleinfojava results compile error object found,blocker
unable open perl script editor,major
version unable set breakpoint,normal
win improve swt windows buildbat script,normal
viewers abstracttreeviewersetcontentprovider useless,minor
inline local variable cast results compile time error,minor
eclipse crashes enter subversion url,critical
message views come empty,major
problems accelerators emacs mode,critical
bogus error editor type comexamplesubbb accessable,normal
regression refreshrun action deletes files bin directory recompiles classes,blocker
gtkwarning natural size must min size,minor
unqualified source lookup fails external archive,normal
managed build two problems converting projects using rd party tool integrations,normal
formatter never join wrapped lines allows braces next line,trivial
rulers color created temporary annotations overview ruler might get washed,minor
focus lost switching perspectives os x,major
commands cvs warnings loading oecorecommands,trivial
npe reordering editors,major
contributions tool bar photo demos tab folder looks awful,major
multiple definitions name returned readonly pdoms,normal
remove deprecated getokbutton getcancelbutton icdialog,trivial
ua test failures caused bad links doc,normal
commands orgeclipseuicommands extension point tells user implement subclass,minor
wrongsounding phrase string externalization dialog refactoring nls,trivial
importexport import file system problem,minor
styledtext issue inputting dbcs character,critical
javadoc incorrect warning wrapped links,minor
downloaded attachments corrupted version,critical
migrate jar project messed sources refactoring,minor
classcastexception astambiguousnodedoresolveambiguity,normal
typo javadoc classinstancecreation,trivial
phishing state take precedence junk state message bar,major
contributions jsp editor context menu team view problem,normal
fix messages new warning missing trywithresources,trivial
npe resource delete package viewer,normal
preferences cldc added keyword compiler page,trivial
need ability globally change msg columns,major
browser web browser preferences ignore browser parameters,minor
completion available cast string,critical
opening sql files history causes coreexception must specify uri scheme,major
code assist eclipse hangs upon completion past lambda,critical
classcastexception copy search,major
jobmanager deadlock,major
search pref page color button bad size,trivial
broken links javadocs orgeclipseswtinternal cdccldc compatibility types,trivial
linkedresources slow flashy memory creating linked folder,normal
memory preference page missing mnemonic,trivial
minor javadoc updates synchronizationscopemanager isubscriberchangeevent,trivial
eclipse paint issues scrolling java editor,critical
doc outdated screen shot local history example page plugin dev guide,trivial
takes time open emails large attachments dont need view attachments,major
dnd regression editor overrides view drag handler,normal
class st misuses javadoc comments category headers,trivial
workbenchlauncher splash screen,minor
new editor cycling commands missing pneumonics,minor
space title show key binding preferences,normal
mitm via thunderbird autoconfig,critical
clean clean convert control statement bodies block deletes comments,normal
preferences linked resources page dialog bad font,trivial
presentations open editor drop command doesnt work r presentation,minor
workbench workbenchopenworkbenchwindow calls createworkbenchwindow multiple times,major
tvtdvttct iesdvt tha duplicate title toc,minor
message folder list longer exposed accessible thunderbird,critical
build output folder visible package view,normal
automatic text selection mouse movement editor refresh,minor
garbage collected object finalised run debuger,minor
eventtablesendevent minor performance note,trivial
compiler java error present,major
win hovering mouse hyperlink may receive swtmouseexit without receiving swtmouseenter first place,major
cocoa command keyboard shortcuts dont work menu opened cmdc cmdv cmdu etc,major
corrupted string installed component shown installation,normal
crash daily clicking email link mailbox imap nntp reference like hreffoo,critical
tab error message field inputdialog,trivial
unable attach java source code tested android,major
workbench workspace prompt follow platform conventions directory path,major
spell checking countries recognized platform dictionary,trivial
opening draft imap folder different computer mail message sent wrong address,major
unable start eclipse f option data,minor
preferences compatibility preferencesipropertychangelisteners receive event wrong type via preferencesforwarder,major
findreplace replace repeatable using line selection,minor
viewmgmt refresh problem error log title area,trivial
formatting functionlike macro call equals initializer results unexpected token type warning,trivial
c semantics idexpressions resolve types,normal
whole application freezes starting spell check,critical
keybindings preference page extends default extra space,trivial
loss emails using drag drop,critical
problem inserting file file c documepatricklocalstempnsemailhtml message want continue sending message without file,major
npe catchup,critical
inability set sort criterion grouped sublists messages,major
confusing nonexsisting project dialog,normal
formatter code formatter produces syntax error unary operator followed prefix increment operator,trivial
code formatter leading spaces ignored,minor
another npe messagesendanalysecode receiver type inference variable inside lambda,minor
sometime search results error memento problem search,normal
compiler fails inner classes generic class,minor
error message indexing,major
tooltips left cursor leaving screen time,minor
remove workarounds packagesviewcontentprovidertests,trivial
installed jres updated executation environments settings page,trivial
method names completion semicolon,normal
compiler npe compilationunitproblemfinderprocess explicit wildcard invocation,minor
thunderbird upgrade deleted contents local trash subfolders colons slash folder names mac os x,critical
logic problem texteditoractionjava,normal
tag version omits information case failures,major
restore local history doesnt preserve source folders compare,normal
ies fails launch gui panel sles z systems,blocker
expr remove selected expressions button enabled add new expression row selected,minor
highlighted tabs main window updating window data,minor
launching autodelete launch configurations changed behavior based resources instead projects,major
cant get unread messages,major
internal compiler error javalangnullpointerexception orgeclipsejdtinternalcompilerastfieldreferenceanalysecodefieldreferencejava,critical
meta ui punchlist getusermedia blockers,normal
broken link teamhook javadoc,trivial
hashcodeequals remove unnecessary warning hashcodeequals generator,minor
import filter type reduce xml selection,normal
synced tabs sidebar blank state restarting nightly,normal
dialogs close immediately opened ctrlt ctrlo ctrlf,normal
occurrence count computed incorrectly certain anonymous inner classes,major
alltests include abstract testcase junit,trivial
compile errors n,normal
dialogs project rename dialog shows incorrect text,minor
file appears twice add include dialog,normal
possible native bugs,normal
eclipse closes braces field array annotation outside annotation,minor
lost inbox setting,critical
keybindings pref page show error message invalid key sequence,normal
improve recovery unclosed include,minor
launching application debugger extremely slow,normal
stringstartswithstring creates bad compilation error,normal
classcastexception deleting items make targets make targets view,trivial
workbench creating new midlet class created midlet project doesnt use current selected project,minor
prompt changing default jre,trivial
name synchronize participant null set unknown,trivial
startup crash nswindowwatchercalculatechromeflagschar const int int int int,critical
extract function incorrectly extracts format argument function printf,minor
search search results appearing search view search completed,major
java build path inconsistency build path,normal
failed load jni shared library cjdkbinclientjvmdll,normal
move instance method shows referenced field twice list refactoring move,normal
print line numbers,normal
gcc warnings get treated like errors,normal
api itextviewergetselectedrange specify result,trivial
capabilities runtimes installed,major
gdb dsf hardware debugging launcher fails complete launch,major
variable view entries vanish click,major
working sets new java working set wizard initialized selected working set,minor
error opening match deleted file,major
junit run junit method public static test mysuite,normal
default auto activation trigger javadoc content assist,trivial
ex timers example view doesnt update user makes model change,normal
toolbar focus cant use mnemonics file menus,normal
builder outofmemoryerror cleaning orgeclipsejdtcore project,critical
malicious mail header crashes mozilla thunderbird,critical
contenttypetest perf tests show regression,trivial
ui hang windows sound cpu winmmsndplaysoundi xulnssoundpurgelastsound,critical
add workspace wrong terminology,normal
template typenames understood,normal
grammar fix ecj help,trivial
widgets coolbar setpreferredsize dont resize items created,minor
commonnavigator project explorer select ctrl bug,minor
abstract method declaration completion relevant,normal
compilerresource invalid resource leak warning,normal
